anyo,mes,dia,marca,modelo,cod_prov,provincia,canal,fuel_type,segmento,subseg,hp,body_type,count
2026,07,30,NISSAN,TOWNSTAR,43,Tarragona,Corporate,BEV,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,NISSAN,TOWNSTAR,43,Tarragona,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,NISSAN,TOWNSTAR,43,Tarragona,Private,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,OMODA,OMODA 5,43,Tarragona,Private,ICE,UKL2,REST,Standard,SAV,1
2026,07,30,OMODA,OMODA 7,43,Tarragona,Private,PHEV,KKL,REST,Standard,SAV,1
2026,07,30,OMODA,OMODA 9,43,Tarragona,Private,PHEV,KKL,REST,Standard,SAV,1
2026,07,30,OPEL,CORSA,43,Tarragona,Private,ICE,UKL1,REST,Standard,HACH 5P,1
2026,07,30,OPEL,MOKKA,43,Tarragona,Private,ICE,UKL1,REST,Standard,SAV,1
2026,07,30,PEUGEOT,2008,43,Tarragona,Corporate,ICE,UKL1,REST,Standard,SAV,2
2026,07,30,PEUGEOT,2008,43,Tarragona,Private,ICE,UKL1,REST,Standard,SAV,1
2026,07,30,PEUGEOT,208,43,Tarragona,Private,ICE,UKL1,REST,Standard,HACH 5P,2
2026,07,30,PEUGEOT,308,43,Tarragona,Corporate,ICE,UKL2,REST,Standard,HACH 5P,1
2026,07,30,PEUGEOT,5008,43,Tarragona,Corporate,ICE,KKL,REST,Standard,SUV,2
2026,07,30,PEUGEOT,BOXER,43,Tarragona,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,PEUGEOT,EXPERT,43,Tarragona,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,PEUGEOT,TRAVELLER,43,Tarragona,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,RENAULT,5,43,Tarragona,Private,BEV,UKL1,REST,Standard,HACH 5P,1
2026,07,30,SEAT,ARONA,43,Tarragona,Corporate,ICE,UKL1,REST,Standard,SAV,1
2026,07,30,SEAT,ARONA,43,Tarragona,Private,ICE,UKL1,REST,Standard,SAV,4
2026,07,30,SEAT,IBIZA,43,Tarragona,Private,ICE,UKL1,REST,Standard,HACH 5P,5
2026,07,30,SEAT,LEON,43,Tarragona,Private,ICE,UKL2,REST,Standard,HACH 5P,1
2026,07,30,SKODA,ELROQ,43,Tarragona,Private,BEV,UKL2,REST,Standard,SAV,1
2026,07,30,SKODA,FABIA,43,Tarragona,Private,ICE,UKL1,REST,Standard,HACH 5P,1
2026,07,30,SKODA,KAMIQ,43,Tarragona,Corporate,ICE,UKL1,REST,Standard,SAV,2
2026,07,30,SKODA,SCALA,43,Tarragona,Private,ICE,UKL2,REST,Standard,HACH 5P,1
2026,07,30,SUZUKI,SWIFT,43,Tarragona,Private,ICE,UKL1,REST,Standard,HACH 5P,1
2026,07,30,TESLA,MODEL Y,43,Tarragona,Private,BEV,KKL,FOCUS SEGMENT,Standard,SAT,1
2026,07,30,TOYOTA,AYGO X,43,Tarragona,Private,ICE,UKL0,REST,Standard,HACH 5P,1
2026,07,30,TOYOTA,COROLLA,43,Tarragona,Private,ICE,UKL2,REST,Standard,HACH 5P,1
2026,07,30,TOYOTA,RAV 4,43,Tarragona,Private,ICE,UKL2,REST,Standard,SAV,1
2026,07,30,TOYOTA,RAV 4,43,Tarragona,Private,PHEV,UKL2,REST,Standard,SAV,1
2026,07,30,TOYOTA,YARIS,43,Tarragona,Private,ICE,UKL1,REST,Standard,HACH 5P,4
2026,07,30,VOLKSWAGEN,CADDY,43,Tarragona,Private,PHEV,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,VOLKSWAGEN,CALIFORNIA,43,Tarragona,Private,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,VOLKSWAGEN,CRAFTER,43,Tarragona,Private,ICE,SKL,REST,Standard,TRANSPORTER,1
